title,company,location,salary,description,requirements,url,date_posted,source
Operations Research Analyst,Harborview Systems,"Charlotte, NC","110,000-160,000","Harborview Systems is hiring an Operations Research Analyst in Charlotte, NC. Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.

Responsibilities:
- Present the results of mathematical modeling and data analysis to management or other end users.
- Define data requirements, and gather and validate information, applying judgment and statistical tests.
- Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary.
- Prepare management reports defining and evaluating problems and recommending solutions.
- Collaborate with others in the organization to ensure successful implementation of chosen problem solutions.
- Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint
- Working knowledge of Mathematics
- Working knowledge of Computers and Electronics
- Working knowledge of Engineering and Technology

Preferred qualifications:
- Experience with Python, Salesforce software, Structured query language SQL, Tableau",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft Power BI; Microsoft PowerPoint; Mathematics; Computers and Electronics; Engineering and Technology,https://example.com/jobs/15-2031.00,2026-06-01,LinkedIn
Materials Engineer,Pinnacle Services,"Charlotte, NC","78,000-118,000","Pinnacle Services is hiring a Materials Engineer in Charlotte, NC. Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.

Responsibilities:
- Analyze product failure data and laboratory test results to determine causes of problems and develop solutions.
- Design and direct the testing or control of processing procedures.
- Monitor material performance, and evaluate its deterioration.
- Conduct or supervise tests on raw materials or finished products to ensure their quality.
- Evaluate technical specifications and economic factors relating to process or product design objectives.
- Modify properties of metal alloys, using thermal and mechanical treatments.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Autodesk AutoCAD, C++
- Working knowledge of Engineering and Technology
- Working knowledge of Chemistry
- Working knowledge of Physics

Preferred qualifications:
- Experience with Dassault Systemes SolidWorks, Microsoft Access, Microsoft Outlook, Microsoft SharePoint",Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Autodesk AutoCAD; C++; Engineering and Technology; Chemistry; Physics,https://example.com/jobs/17-2131.00,2026-06-01,LinkedIn
Materials Engineer,Greenfield Manufacturing,"McLean, VA","78,000-118,000","Greenfield Manufacturing is hiring a Materials Engineer in McLean, VA. Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.

Responsibilities:
- Analyze product failure data and laboratory test results to determine causes of problems and develop solutions.
- Design and direct the testing or control of processing procedures.
- Monitor material performance, and evaluate its deterioration.
- Conduct or supervise tests on raw materials or finished products to ensure their quality.
- Evaluate technical specifications and economic factors relating to process or product design objectives.
- Modify properties of metal alloys, using thermal and mechanical treatments.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Autodesk AutoCAD, C++
- Working knowledge of Engineering and Technology
- Working knowledge of Chemistry
- Working knowledge of Physics

Preferred qualifications:
- Experience with Dassault Systemes SolidWorks, Microsoft Access, Microsoft Outlook, Microsoft SharePoint",Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Autodesk AutoCAD; C++; Engineering and Technology; Chemistry; Physics,https://example.com/jobs/17-2131.00,2026-06-01,LinkedIn
Transportation Engineer,Northbridge Health,"McLean, VA","78,000-118,000","Northbridge Health is hiring a Transportation Engineer in McLean, VA. Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.

Responsibilities:
- Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.
- Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.
- Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.
- Plan alteration or modification of existing transportation structures to improve safety or function.
- Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.
- Present data, maps, or other information at construction-related public hearings or meetings.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Bentley MicroStation, Cubic Synchro Studio, Microsoft Excel
- Working knowledge of Engineering and Technology
- Working knowledge of Design
- Working knowledge of Transportation

Preferred qualifications:
- Experience with Microsoft Office software, Microsoft PowerPoint, OpenRoads Designer, PTV Vissim",Autodesk AutoCAD; Autodesk AutoCAD Civil 3D; Bentley MicroStation; Cubic Synchro Studio; Microsoft Excel; Engineering and Technology; Design; Transportation,https://example.com/jobs/17-2051.01,2026-06-01,LinkedIn
Transportation Engineer,Capital One,"Atlanta, GA","78,000-118,000","Capital One is hiring a Transportation Engineer in Atlanta, GA. Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.

Responsibilities:
- Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.
- Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.
- Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.
- Plan alteration or modification of existing transportation structures to improve safety or function.
- Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.
- Present data, maps, or other information at construction-related public hearings or meetings.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Bentley MicroStation, Cubic Synchro Studio, Microsoft Excel
- Working knowledge of Engineering and Technology
- Working knowledge of Design
- Working knowledge of Transportation

Preferred qualifications:
- Experience with Microsoft Office software, Microsoft PowerPoint, OpenRoads Designer, PTV Vissim",Autodesk AutoCAD; Autodesk AutoCAD Civil 3D; Bentley MicroStation; Cubic Synchro Studio; Microsoft Excel; Engineering and Technology; Design; Transportation,https://example.com/jobs/17-2051.01,2026-06-01,LinkedIn
Water/Wastewater Engineer,Turner Construction,"Atlanta, GA","78,000-118,000","Turner Construction is hiring a Water/Wastewater Engineer in Atlanta, GA. Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.

Responsibilities:
- Provide technical direction or supervision to junior engineers, engineering or computer-aided design (CAD) technicians, or other technical personnel.
- Review and critique proposals, plans, or designs related to water or wastewater treatment systems.
- Design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (SBR), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings.
- Evaluate the operation and maintenance of water or wastewater systems to identify ways to improve their efficiency.
- Design or select equipment for use in wastewater processing to ensure compliance with government standards.
- Design pumping systems, pumping stations, pipelines, force mains, or sewers for the collection of wastewater.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, ESRI ArcGIS software
- Working knowledge of Engineering and Technology
- Working knowledge of Design
- Working knowledge of English Language

Preferred qualifications:
- Experience with HEC-HMS, HEC-RAS, Microsoft Excel, Microsoft Office software",Autodesk AutoCAD; Autodesk AutoCAD Civil 3D; Autodesk Revit; Bentley MicroStation; ESRI ArcGIS software; Engineering and Technology; Design; English Language,https://example.com/jobs/17-2051.02,2026-06-01,LinkedIn
Water/Wastewater Engineer,Meridian Logistics,Remote,"78,000-118,000","Meridian Logistics is hiring a Water/Wastewater Engineer in Remote. Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.

Responsibilities:
- Provide technical direction or supervision to junior engineers, engineering or computer-aided design (CAD) technicians, or other technical personnel.
- Review and critique proposals, plans, or designs related to water or wastewater treatment systems.
- Design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (SBR), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings.
- Evaluate the operation and maintenance of water or wastewater systems to identify ways to improve their efficiency.
- Design or select equipment for use in wastewater processing to ensure compliance with government standards.
- Design pumping systems, pumping stations, pipelines, force mains, or sewers for the collection of wastewater.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Autodesk AutoCAD, Autodesk AutoCAD Civil 3D, Autodesk Revit, Bentley MicroStation, ESRI ArcGIS software
- Working knowledge of Engineering and Technology
- Working knowledge of Design
- Working knowledge of English Language

Preferred qualifications:
- Experience with HEC-HMS, HEC-RAS, Microsoft Excel, Microsoft Office software",Autodesk AutoCAD; Autodesk AutoCAD Civil 3D; Autodesk Revit; Bentley MicroStation; ESRI ArcGIS software; Engineering and Technology; Design; English Language,https://example.com/jobs/17-2051.02,2026-06-01,LinkedIn
Construction Manager,Brightpath Solutions,Remote,"78,000-118,000","Brightpath Solutions is hiring a Construction Manager in Remote. Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.

Responsibilities:
- Inspect or review projects to monitor compliance with building and safety codes or other regulations.
- Develop or implement quality control programs.
- Plan, schedule, or coordinate construction project activities to meet deadlines.
- Prepare and submit budget estimates, progress reports, or cost tracking reports.
- Direct and supervise construction or related workers.
- Determine labor requirements for dispatching workers to construction sites.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project
- Working knowledge of Building and Construction
- Working knowledge of Administration and Management
- Working knowledge of Mathematics

Preferred qualifications:
- Experience with Procore software, Adobe Acrobat, Adobe Creative Cloud software, Autodesk AutoCAD",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Building and Construction; Administration and Management; Mathematics,https://example.com/jobs/11-9021.00,2026-06-01,LinkedIn
Construction Manager,Summit Financial,"Columbus, OH","78,000-118,000","Summit Financial is hiring a Construction Manager in Columbus, OH. Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.

Responsibilities:
- Inspect or review projects to monitor compliance with building and safety codes or other regulations.
- Develop or implement quality control programs.
- Plan, schedule, or coordinate construction project activities to meet deadlines.
- Prepare and submit budget estimates, progress reports, or cost tracking reports.
- Direct and supervise construction or related workers.
- Determine labor requirements for dispatching workers to construction sites.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project
- Working knowledge of Building and Construction
- Working knowledge of Administration and Management
- Working knowledge of Mathematics

Preferred qualifications:
- Experience with Procore software, Adobe Acrobat, Adobe Creative Cloud software, Autodesk AutoCAD",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Building and Construction; Administration and Management; Mathematics,https://example.com/jobs/11-9021.00,2026-06-01,LinkedIn
Web and Digital Interface Designer,Cedar Ridge Care,"Columbus, OH","78,000-118,000","Cedar Ridge Care is hiring a Web and Digital Interface Designer in Columbus, OH. Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.

Responsibilities:

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Adobe Creative Cloud software, Adobe Illustrator, Adobe Photoshop, Adobe XD, Atlassian JIRA

Preferred qualifications:
- Experience with Cascading style sheets CSS, Figma, Google Angular, Hypertext markup language HTML",Adobe Creative Cloud software; Adobe Illustrator; Adobe Photoshop; Adobe XD; Atlassian JIRA,https://example.com/jobs/15-1255.00,2026-06-01,LinkedIn
Web and Digital Interface Designer,Vantage Retail,"Charlotte, NC","78,000-118,000","Vantage Retail is hiring a Web and Digital Interface Designer in Charlotte, NC. Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.

Responsibilities:

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Adobe Creative Cloud software, Adobe Illustrator, Adobe Photoshop, Adobe XD, Atlassian JIRA

Preferred qualifications:
- Experience with Cascading style sheets CSS, Figma, Google Angular, Hypertext markup language HTML",Adobe Creative Cloud software; Adobe Illustrator; Adobe Photoshop; Adobe XD; Atlassian JIRA,https://example.com/jobs/15-1255.00,2026-06-01,LinkedIn
Graphic Designer,Onyx Technologies,"Charlotte, NC","78,000-118,000","Onyx Technologies is hiring a Graphic Designer in Charlotte, NC. Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.

Responsibilities:
- Key information into computer equipment to create layouts for client or supervisor.
- Review final layouts and suggest improvements, as needed.
- Determine size and arrangement of illustrative material and copy, and select style and size of type.
- Develop graphics and layouts for product illustrations, company logos, and Web sites.
- Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.
- Use computer software to generate new images.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop
- Working knowledge of Design
- Working knowledge of Computers and Electronics
- Working knowledge of Fine Arts

Preferred qualifications:
- Experience with Adobe Premiere Pro, Canva, Cascading style sheets CSS, Figma",Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Design; Computers and Electronics; Fine Arts,https://example.com/jobs/27-1024.00,2026-06-01,LinkedIn
Graphic Designer,Harborview Systems,"McLean, VA","78,000-118,000","Harborview Systems is hiring a Graphic Designer in McLean, VA. Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.

Responsibilities:
- Key information into computer equipment to create layouts for client or supervisor.
- Review final layouts and suggest improvements, as needed.
- Determine size and arrangement of illustrative material and copy, and select style and size of type.
- Develop graphics and layouts for product illustrations, company logos, and Web sites.
- Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.
- Use computer software to generate new images.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop
- Working knowledge of Design
- Working knowledge of Computers and Electronics
- Working knowledge of Fine Arts

Preferred qualifications:
- Experience with Adobe Premiere Pro, Canva, Cascading style sheets CSS, Figma",Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Design; Computers and Electronics; Fine Arts,https://example.com/jobs/27-1024.00,2026-06-01,LinkedIn
Commercial and Industrial Designer,Pinnacle Services,"McLean, VA","78,000-118,000","Pinnacle Services is hiring a Commercial and Industrial Designer in McLean, VA. Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.

Responsibilities:
- Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment.
- Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.
- Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics.
- Confer with engineering, marketing, production, or sales departments, or with customers, to establish and evaluate design concepts for manufactured products.
- Present designs and reports to customers or design committees for approval and discuss need for modification.
- Research production specifications, costs, production materials, and manufacturing methods and provide cost estimates and itemized production requirements.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Adobe Creative Cloud software, Adobe Illustrator, Adobe Photoshop, Dassault Systemes SolidWorks, Figma
- Working knowledge of Design
- Working knowledge of Engineering and Technology
- Working knowledge of Production and Processing

Preferred qualifications:
- Experience with Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Adobe Acrobat",Adobe Creative Cloud software; Adobe Illustrator; Adobe Photoshop; Dassault Systemes SolidWorks; Figma; Design; Engineering and Technology; Production and Processing,https://example.com/jobs/27-1021.00,2026-06-01,LinkedIn
Commercial and Industrial Designer,Greenfield Manufacturing,"Atlanta, GA","78,000-118,000","Greenfield Manufacturing is hiring a Commercial and Industrial Designer in Atlanta, GA. Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.

Responsibilities:
- Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment.
- Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.
- Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics.
- Confer with engineering, marketing, production, or sales departments, or with customers, to establish and evaluate design concepts for manufactured products.
- Present designs and reports to customers or design committees for approval and discuss need for modification.
- Research production specifications, costs, production materials, and manufacturing methods and provide cost estimates and itemized production requirements.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Adobe Creative Cloud software, Adobe Illustrator, Adobe Photoshop, Dassault Systemes SolidWorks, Figma
- Working knowledge of Design
- Working knowledge of Engineering and Technology
- Working knowledge of Production and Processing

Preferred qualifications:
- Experience with Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Adobe Acrobat",Adobe Creative Cloud software; Adobe Illustrator; Adobe Photoshop; Dassault Systemes SolidWorks; Figma; Design; Engineering and Technology; Production and Processing,https://example.com/jobs/27-1021.00,2026-06-01,LinkedIn
Accountants and Auditor,Northbridge Health,"Atlanta, GA","78,000-118,000","Northbridge Health is hiring an Accountants and Auditor in Atlanta, GA. Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.

Responsibilities:
- Prepare detailed reports on audit findings.
- Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.
- Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.
- Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.
- Supervise auditing of establishments, and determine scope of investigation required.
- Confer with company officials about financial and regulatory matters.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Intuit QuickBooks, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint
- Working knowledge of Economics and Accounting
- Working knowledge of English Language
- Working knowledge of Mathematics

Preferred qualifications:
- Experience with SAP software, Adobe Acrobat, Alteryx software, Epic Systems",Intuit QuickBooks; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Economics and Accounting; English Language; Mathematics,https://example.com/jobs/13-2011.00,2026-06-01,LinkedIn
Accountants and Auditor,Capital One,Remote,"78,000-118,000","Capital One is hiring an Accountants and Auditor in Remote. Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.

Responsibilities:
- Prepare detailed reports on audit findings.
- Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.
- Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.
- Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.
- Supervise auditing of establishments, and determine scope of investigation required.
- Confer with company officials about financial and regulatory matters.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Intuit QuickBooks, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint
- Working knowledge of Economics and Accounting
- Working knowledge of English Language
- Working knowledge of Mathematics

Preferred qualifications:
- Experience with SAP software, Adobe Acrobat, Alteryx software, Epic Systems",Intuit QuickBooks; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Economics and Accounting; English Language; Mathematics,https://example.com/jobs/13-2011.00,2026-06-01,LinkedIn
Treasurers and Controller,Turner Construction,Remote,"78,000-118,000","Turner Construction is hiring a Treasurers and Controller in Remote. Direct financial activities, such as planning, procurement, and investments for all or part of an organization.

Responsibilities:
- Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.
- Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.
- Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.
- Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.
- Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.
- Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Intuit QuickBooks, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, SAP software
- Working knowledge of Economics and Accounting
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Hypertext markup language HTML, Microsoft Access, Microsoft Outlook, Microsoft Project",Intuit QuickBooks; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; SAP software; Economics and Accounting; English Language; Administration and Management,https://example.com/jobs/11-3031.01,2026-06-01,LinkedIn
Treasurers and Controller,Meridian Logistics,"Columbus, OH","78,000-118,000","Meridian Logistics is hiring a Treasurers and Controller in Columbus, OH. Direct financial activities, such as planning, procurement, and investments for all or part of an organization.

Responsibilities:
- Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.
- Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.
- Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.
- Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.
- Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.
- Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Intuit QuickBooks, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, SAP software
- Working knowledge of Economics and Accounting
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Hypertext markup language HTML, Microsoft Access, Microsoft Outlook, Microsoft Project",Intuit QuickBooks; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; SAP software; Economics and Accounting; English Language; Administration and Management,https://example.com/jobs/11-3031.01,2026-06-01,LinkedIn
Cost Estimator,Brightpath Solutions,"Columbus, OH","78,000-118,000","Brightpath Solutions is hiring a Cost Estimator in Columbus, OH. Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.

Responsibilities:
- Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.
- Confer with engineers, architects, owners, contractors, and subcontractors on changes and adjustments to cost estimates.
- Collect historical cost data to estimate costs for current or future products.
- Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.
- Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues.
- Establish and maintain tendering process, and conduct negotiations.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with ConstructConnect PlanSwift, Microsoft Excel, Microsoft Office software, Microsoft Outlook, On Center On-Screen Takeoff
- Working knowledge of Mathematics
- Working knowledge of Economics and Accounting
- Working knowledge of Computers and Electronics

Preferred qualifications:
- Experience with Adobe Acrobat, Autodesk AutoCAD, Autodesk Revit, Intuit QuickBooks",ConstructConnect PlanSwift; Microsoft Excel; Microsoft Office software; Microsoft Outlook; On Center On-Screen Takeoff; Mathematics; Economics and Accounting; Computers and Electronics,https://example.com/jobs/13-1051.00,2026-06-01,LinkedIn
Cost Estimator,Summit Financial,"Charlotte, NC","78,000-118,000","Summit Financial is hiring a Cost Estimator in Charlotte, NC. Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.

Responsibilities:
- Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.
- Confer with engineers, architects, owners, contractors, and subcontractors on changes and adjustments to cost estimates.
- Collect historical cost data to estimate costs for current or future products.
- Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.
- Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues.
- Establish and maintain tendering process, and conduct negotiations.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with ConstructConnect PlanSwift, Microsoft Excel, Microsoft Office software, Microsoft Outlook, On Center On-Screen Takeoff
- Working knowledge of Mathematics
- Working knowledge of Economics and Accounting
- Working knowledge of Computers and Electronics

Preferred qualifications:
- Experience with Adobe Acrobat, Autodesk AutoCAD, Autodesk Revit, Intuit QuickBooks",ConstructConnect PlanSwift; Microsoft Excel; Microsoft Office software; Microsoft Outlook; On Center On-Screen Takeoff; Mathematics; Economics and Accounting; Computers and Electronics,https://example.com/jobs/13-1051.00,2026-06-01,LinkedIn
New Accounts Clerk,Cedar Ridge Care,"Charlotte, NC","55,000-82,000","Cedar Ridge Care is hiring a New Accounts Clerk in Charlotte, NC. Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.

Responsibilities:
- Perform teller duties as required.
- Compile information about new accounts, enter account information into computers, and file related forms or other documents.
- Collect and record customer deposits and fees and issue receipts, using computers.
- Inform customers of procedures for applying for services, such as ATM cards, direct deposit of checks, and certificates of deposit.
- Answer customers' questions and explain available services, such as deposit accounts, bonds, and securities.
- Interview customers to obtain information needed for opening accounts or renting safe-deposit boxes.

Required qualifications:
- Associate's degree or vocational training plus apprenticeship; 1-2 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word
- Working knowledge of Customer and Personal Service
- Working knowledge of Sales and Marketing
- Working knowledge of Administrative

Preferred qualifications:
- Experience with Corporate Information Factory CIF, DCI iCore, Email software, Financial needs analysis software",Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Word; Customer and Personal Service; Sales and Marketing; Administrative,https://example.com/jobs/43-4141.00,2026-06-01,LinkedIn
